333;-81;167;
150;-89;195;
131;-129;229;
162;-110;234;
148;-121;245;
117;-146;263;
96;-119;197;
139;-126;233;
75;-168;237;
83;-169;211;
92;-128;175;
91;-153;207;
131;-139;197;
156;-109;199;
150;-113;161;
132;-110;156;
120;-102;115;
91;-114;116;
75;-127;116;
45;-134;109;
43;-111;113;
32;-94;118;
0;-103;108;
17;-121;89;
46;-121;85;
76;-118;119;
59;-118;90;
97;-122;75;
103;-113;84;
142;-113;97;
189;-107;115;
121;-115;73;
145;-96;74;
97;-120;43;
103;-120;16;
122;-103;0;
149;-87;21;
172;-78;14;
172;-108;36;
151;-119;68;
170;-101;88;
161;-53;103;
182;-72;61;
212;-55;63;
208;-72;54;
246;-27;52;
268;-76;30;
283;-22;60;
272;-49;75;
261;-60;65;
206;-71;112;
198;-69;138;
218;-34;125;
210;-62;146;
256;-19;135;
278;-19;135;
310;-43;135;
298;-1;158;
335;-41;164;
302;0;187;
283;-15;200;
285;-33;218;
266;-53;218;
248;-45;206;
245;-41;246;
228;-41;269;
229;-57;274;
215;-52;271;
212;-90;276;
196;-73;223;
178;-104;200;
167;-110;235;
156;-58;270;
148;-83;278;
139;-135;254;
160;-118;230;
160;-132;187;
145;-149;156;
151;-113;182;
128;-131;215;
107;-158;206;
168;-129;225;
147;-133;190;
103;-124;184;
88;-150;193;
48;-170;213;
48;-132;218;
13;-119;163;
33;-160;140;
36;-143;137;
20;-167;96;
36;-153;110;
52;-157;94;
69;-153;83;
77;-181;83;
100;-150;74;
92;-147;90;
88;-140;101;
149;-166;106;
108;-183;125;
103;-158;114;
129;-139;89;
106;-143;77;
95;-175;57;
107;-177;26;
128;-228;17;
97;-225;5;
133;-207;2;
169;-206;24;
175;-214;39;
143;-214;57;
166;-193;73;
191;-168;101;
156;-176;76;
205;-150;77;
199;-168;43;
245;-126;33;
241;-175;48;
270;-145;79;
230;-136;99;
273;-147;130;
282;-187;106;
269;-202;77;
302;-195;109;
290;-144;95;
327;-167;136;
311;-121;145;
318;-176;151;
246;-167;177;
230;-192;156;
266;-224;150;
288;-192;185;
322;-187;210;
325;-169;212;
308;-164;198;
306;-156;225;
299;-165;224;
257;-184;182;
248;-199;241;
239;-174;218;
222;-197;205;
199;-223;192;
227;-240;167;
159;-197;180;
183;-164;187;
230;-218;228;
216;-225;208;
185;-243;246;
196;-185;244;
152;-220;251;
131;-215;177;
88;-240;177;
103;-243;190;
105;-237;215;
72;-240;231;
56;-229;194;
46;-231;187;
39;-224;146;
49;-212;139;
122;-212;146;
130;-194;124;
70;-203;90;
60;-248;94;
47;-233;99;
39;-248;71;
60;-257;79;
80;-258;58;
110;-217;118;
139;-188;85;
121;-234;48;
127;-278;63;
137;-295;50;
169;-273;60;
176;-282;82;
150;-288;107;
168;-264;125;
202;-265;110;
206;-289;107;
229;-273;64;
207;-272;31;
227;-223;17;
252;-216;47;
272;-241;65;
235;-262;69;
237;-254;80;
206;-279;103;
231;-286;130;
252;-297;152;
276;-257;162;
295;-236;125;
307;-228;156;
302;-241;198;
273;-270;203;
257;-260;184;
250;-230;200;
198;-259;179;
196;-252;204;
228;-259;229;
221;-257;250;
203;-249;271;
160;-262;237;
143;-267;216;
190;-221;213;
200;-188;242;
203;-216;256;
211;-221;271;
221;-185;256;
120;-248;265;
162;-260;246;
138;-241;233;
185;-251;229;
119;-302;239;
188;-307;250;
117;-333;260;
132;-310;212;
110;-312;243;
133;-304;207;
98;-302;208;
65;-321;207;
55;-322;229;
71;-286;215;
38;-349;213;
65;-293;144;
77;-308;173;
80;-268;130;
110;-307;146;
82;-308;124;
68;-338;77;
45;-323;106;
30;-323;66;
43;-319;57;
61;-336;56;
95;-326;75;
116;-353;43;
153;-358;85;
178;-326;90;
175;-352;97;
130;-371;76;
121;-364;50;
170;-348;19;
147;-334;8;
183;-328;39;
186;-324;67;
199;-381;68;
240;-346;89;
183;-292;55;
171;-296;99;
177;-276;118;
197;-288;127;
217;-304;152;
231;-349;144;
258;-319;139;
249;-340;109;
267;-319;97;
286;-305;89;
313;-309;79;
289;-307;107;
265;-324;125;
290;-320;150;
269;-290;144;
211;-295;133;
198;-322;169;
225;-345;151;
272;-353;203;
272;-334;204;
282;-372;215;
285;-346;249;
266;-353;246;
255;-343;202;
226;-344;214;
202;-327;216;
196;-371;200;
193;-328;215;
196;-321;265;
193;-319;260;
175;-350;254;
177;-325;257;
190;-328;224;
147;-363;188;
128;-325;240;
168;-340;249;
181;-350;269;
131;-422;208;
185;-379;202;
112;-371;190;
92;-364;205;
109;-382;184;
83;-382;176;
63;-354;155;
87;-383;148;
63;-380;132;
86;-388;139;
98;-387;121;
128;-401;79;
127;-413;83;
95;-414;64;
119;-450;42;
108;-398;55;
139;-407;44;
163;-437;23;
185;-436;38;
225;-455;74;
181;-409;82;
189;-434;118;
216;-451;108;
220;-403;83;
258;-418;80;
270;-471;85;
222;-451;109;
228;-489;132;
189;-459;113;
181;-481;156;
261;-454;137;
258;-487;157;
261;-431;125;
268;-427;140;
269;-394;135;
296;-388;180;
269;-446;203;
261;-413;203;
229;-424;158;
199;-479;182;
242;-462;192;
211;-437;197;
283;-449;208;
260;-429;231;
266;-397;229;
208;-421;233;
190;-441;229;
225;-510;240;
223;-481;216;
168;-493;198;
196;-469;238;
218;-476;265;
161;-472;250;
180;-459;232;
135;-459;223;
105;-483;218;
152;-438;198;
139;-433;174;
167;-443;164;
126;-439;187;
148;-445;171;
77;-442;166;
72;-439;175;
32;-442;154;
76;-420;140;
101;-447;177;
113;-465;168;
102;-431;138;
49;-443;114;
69;-433;92;
63;-437;104;
97;-427;116;
113;-436;103;
92;-447;89;
103;-477;82;
81;-482;73;
93;-490;57;
152;-524;71;
126;-499;118;
133;-544;109;
148;-496;84;
185;-533;73;
153;-493;56;
192;-497;42;
202;-469;48;
212;-470;76;
179;-465;104;
137;-528;111;
209;-493;141;
180;-481;109;
242;-542;127;
230;-520;107;
261;-493;92;
280;-518;86;
275;-513;133;
253;-501;157;
263;-501;169;
223;-518;172;
232;-523;194;
227;-521;209;
253;-488;198;
262;-551;197;
271;-523;205;
229;-521;229;
249;-549;209;
205;-505;192;
189;-489;201;
222;-510;223;
178;-514;243;
131;-538;189;
140;-536;192;
146;-563;172;
158;-502;211;
145;-502;248;
157;-501;233;
147;-520;211;
160;-508;234;
111;-537;227;
123;-542;173;
122;-512;182;
111;-513;153;
72;-550;192;
68;-528;146;
51;-556;177;
57;-570;160;
89;-562;136;
122;-538;145;
137;-499;134;
108;-482;130;
109;-523;120;
151;-547;113;
130;-584;109;
100;-542;117;
82;-563;82;
65;-534;58;
91;-535;86;
108;-574;73;
121;-591;108;
155;-569;153;
157;-586;89;
127;-541;63;
143;-542;39;
121;-551;69;
158;-587;107;
190;-563;77;
215;-582;110;
179;-568;76;
187;-530;52;
212;-539;42;
191;-534;93;
242;-559;95;
191;-576;120;
213;-569;144;
183;-577;161;
239;-572;153;
250;-563;182;
261;-559;201;
282;-574;172;
255;-566;186;
231;-593;183;
223;-597;205;
187;-598;177;
182;-584;164;
215;-608;203;
223;-595;185;
156;-519;227;
135;-564;219;
146;-548;191;
171;-557;141;
137;-548;177;
140;-563;163;
189;-579;223;
168;-554;201;
123;-550;229;
127;-547;202;
151;-583;175;
109;-560;159;
86;-587;142;
98;-569;149;
129;-550;166;
121;-586;145;
138;-596;140;
133;-621;123;
121;-599;110;
85;-607;119;
123;-590;94;
137;-622;85;
161;-591;69;
173;-616;41;
177;-612;80;
153;-600;99;
158;-619;135;
187;-612;160;
212;-628;130;
237;-620;112;
226;-650;144;
219;-628;172;
219;-624;200;
206;-653;187;
191;-616;168;
147;-620;227;
162;-617;210;
180;-611;235;
205;-624;255;
156;-612;228;
148;-634;215;
128;-658;230;
140;-673;220;
126;-656;177;
108;-656;164;
120;-630;169;
130;-678;166;
118;-687;161;
112;-666;124;
139;-654;120;
115;-664;133;
139;-645;106;
119;-684;103;
166;-683;121;
179;-671;146;
151;-676;94;
186;-647;89;
177;-651;80;
169;-657;73;
185;-650;92;
208;-675;128;
245;-701;134;
199;-676;134;
216;-682;139;
178;-659;134;
193;-653;165;
203;-663;177;
220;-641;191;
190;-651;199;
203;-698;191;
158;-683;177;
140;-691;187;
201;-672;216;
162;-660;223;
155;-691;213;
141;-682;178;
163;-697;167;
120;-736;130;
128;-770;154;
98;-722;126;
122;-767;126;
146;-765;111;
140;-716;113;
149;-722;77;
158;-725;90;
156;-724;113;
188;-744;128;
175;-739;150;
210;-724;134;
216;-752;161;
178;-735;152;
173;-760;131;
166;-750;186;
192;-781;195;
186;-806;208;
158;-776;205;
160;-785;168;
142;-881;173;
126;-752;177;
118;-808;144;
132;-886;170;
125;-881;174;
131;-881;167;
128;-878;142;
112;-767;120;
122;-795;138;
122;-828;135;
141;-860;127;
168;-857;128;
158;-808;123;
177;-751;121;
190;-809;95;
199;-804;131;
207;-844;131;
177;-838;145;
191;-835;175;
155;-815;166;
179;-773;185;
171;-800;169;
183;-839;192;
187;-832;166;
169;-892;180;
166;-836;187;
152;-814;167;
160;-786;188;
138;-807;146;
123;-737;160;
119;-724;132;
99;-729;104;
109;-762;146;
108;-731;171;
133;-707;142;
177;-637;166;
148;-619;126;
147;-585;151;
92;-597;115;
117;-572;141;
75;-553;148;
58;-587;127;
79;-581;108;
90;-491;72;
115;-505;57;
151;-475;88;
119;-450;119;
142;-427;118;
167;-494;121;
177;-469;65;
199;-448;48;
155;-405;53;
141;-390;38;
153;-331;7;
187;-328;30;
187;-328;30;
